Work Order #,Installation,Facility Type Key,System Type Key,Trade,Age,Condition Index,Mission Criticality,Resiliency Grade,Remaining Service Life,Request DateTime,Work Category,Priority Code,Status
USSPC-FAC-2026-0201,Vandenberg SFB,100,70,Power Production,9,78.79,4,1,26,2026-02-27 2200Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0202,Peterson SFB,700,10,HVAC,2,88.43,4,4,25,2026-01-26 1200Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0203,Buckley SFB,700,60,ESS,19,42.53,2,1,11,2026-01-16 0000Z,Urgent,2,Completed
USSPC-FAC-2026-0204,Schriever SFB,100,10,HVAC,8,79.31,5,3,25,2026-01-14 2200Z,Routine,3,Completed
USSPC-FAC-2026-0205,Buckley SFB,100,50,Structural,2,83.57,5,3,33,2026-02-07 1600Z,Routine,4,Approved
USSPC-FAC-2026-0206,Vandenberg SFB,200,10,HVAC,2,100.0,4,2,32,2026-02-26 0000Z,Routine,3,Approved
USSPC-FAC-2026-0207,Vandenberg SFB,200,10,HVAC,22,38.53,3,1,13,2026-01-28 1300Z,Urgent,2,Completed
USSPC-FAC-2026-0208,Peterson SFB,100,70,Power Production,30,23.93,2,3,4,2026-01-18 0300Z,Emergency,1,Approved
USSPC-FAC-2026-0209,Peterson SFB,200,20,Electrical,22,48.2,3,1,3,2026-01-30 0900Z,Urgent,2,In Progress
USSPC-FAC-2026-0210,Schriever SFB,200,40,Fire Protection,17,59.32,2,3,17,2026-01-14 0900Z,Urgent,2,Completed
USSPC-FAC-2026-0211,Schriever SFB,700,20,Electrical,9,74.28,3,4,26,2026-01-09 1900Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0212,Peterson SFB,100,20,Electrical,30,38.5,3,1,1,2026-01-16 2200Z,Urgent,2,In Progress
USSPC-FAC-2026-0213,Buckley SFB,100,20,Electrical,10,83.34,2,1,24,2026-01-24 1900Z,Routine,4,Approved
USSPC-FAC-2026-0214,Buckley SFB,700,70,Power Production,3,100.0,1,1,22,2026-02-12 0100Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0215,Peterson SFB,200,10,HVAC,24,51.59,5,3,4,2026-02-25 1900Z,Urgent,2,Completed
USSPC-FAC-2026-0216,Vandenberg SFB,700,40,Fire Protection,1,80.52,5,4,25,2026-01-24 0000Z,Routine,4,In Progress
USSPC-FAC-2026-0217,Peterson SFB,200,60,ESS,28,34.68,3,3,0,2026-02-11 0400Z,Urgent,2,Completed
USSPC-FAC-2026-0218,Peterson SFB,700,50,Structural,5,95.66,4,1,27,2026-01-26 2100Z,Routine,3,Approved
USSPC-FAC-2026-0219,Vandenberg SFB,200,30,Plumbing,18,61.67,1,4,10,2026-01-24 1400Z,Routine,4,Completed
USSPC-FAC-2026-0220,Schriever SFB,200,30,Plumbing,25,46.81,2,2,5,2026-03-01 1800Z,Urgent,2,In Progress
USSPC-FAC-2026-0221,Schriever SFB,100,70,Power Production,3,100.0,1,1,23,2026-01-29 0600Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0222,Buckley SFB,100,10,HVAC,14,62.85,3,1,20,2026-02-02 2300Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0223,Schriever SFB,100,30,Plumbing,28,24.94,1,2,2,2026-02-19 0000Z,Emergency,1,Completed
USSPC-FAC-2026-0224,Vandenberg SFB,700,80,Lighting,16,72.44,5,2,10,2026-02-08 1700Z,Routine,3,Approved
USSPC-FAC-2026-0225,Buckley SFB,100,50,Structural,29,14.64,4,4,4,2026-02-15 1300Z,Emergency,1,Approved
USSPC-FAC-2026-0226,Buckley SFB,100,60,ESS,7,91.66,5,2,21,2026-01-10 2300Z,Routine,3,Completed
USSPC-FAC-2026-0227,Schriever SFB,100,60,ESS,8,69.84,4,1,22,2026-02-27 0200Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0228,Vandenberg SFB,700,40,Fire Protection,9,78.11,4,2,17,2026-02-24 1100Z,Routine,3,Completed
USSPC-FAC-2026-0229,Buckley SFB,100,60,ESS,1,76.89,4,3,26,2026-02-18 1700Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0230,Schriever SFB,100,30,Plumbing,13,55.26,4,1,13,2026-02-28 1900Z,Urgent,2,Completed
USSPC-FAC-2026-0231,Buckley SFB,700,50,Structural,11,58.09,3,1,21,2026-01-03 1900Z,Urgent,2,Completed
USSPC-FAC-2026-0232,Peterson SFB,200,20,Electrical,26,38.28,1,4,5,2026-03-01 0500Z,Urgent,2,Approved
USSPC-FAC-2026-0233,Vandenberg SFB,200,30,Plumbing,2,81.85,1,4,27,2026-01-01 1600Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0234,Schriever SFB,200,40,Fire Protection,2,92.64,4,1,27,2026-01-11 1400Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0235,Schriever SFB,700,50,Structural,26,34.16,4,2,2,2026-02-18 1600Z,Urgent,2,In Progress
USSPC-FAC-2026-0236,Peterson SFB,700,70,Power Production,19,41.43,3,1,11,2026-01-24 1800Z,Urgent,2,Approved
USSPC-FAC-2026-0237,Peterson SFB,200,50,Structural,19,52.38,2,2,12,2026-01-26 1200Z,Urgent,2,In Progress
USSPC-FAC-2026-0238,Schriever SFB,100,30,Plumbing,10,91.47,4,2,18,2026-01-12 0400Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0239,Peterson SFB,700,60,ESS,14,71.42,3,1,18,2026-02-13 2300Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0240,Vandenberg SFB,700,70,Power Production,12,75.23,4,2,23,2026-02-16 1200Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0241,Vandenberg SFB,700,30,Plumbing,12,70.7,2,1,19,2026-02-28 1000Z,Routine,4,Completed
USSPC-FAC-2026-0242,Schriever SFB,700,10,HVAC,11,81.0,3,3,17,2026-01-10 1000Z,Routine,3,Approved
USSPC-FAC-2026-0243,Schriever SFB,100,80,Lighting,30,27.07,1,4,2,2026-02-23 1000Z,Emergency,1,Approved
USSPC-FAC-2026-0244,Vandenberg SFB,700,40,Fire Protection,25,23.97,1,2,4,2026-02-19 1300Z,Emergency,1,Completed
USSPC-FAC-2026-0245,Buckley SFB,200,50,Structural,15,63.19,2,2,20,2026-01-20 0400Z,Routine,3,In Progress
USSPC-FAC-2026-0246,Vandenberg SFB,100,70,Power Production,20,55.93,5,2,15,2026-02-20 1800Z,Urgent,2,In Progress
USSPC-FAC-2026-0247,Peterson SFB,100,60,ESS,21,44.29,4,2,9,2026-02-08 1900Z,Urgent,2,In Progress
USSPC-FAC-2026-0248,Vandenberg SFB,200,80,Lighting,25,44.12,4,4,9,2026-02-23 1600Z,Urgent,2,In Progress
USSPC-FAC-2026-0249,Buckley SFB,200,20,Electrical,20,38.48,4,2,14,2026-01-16 0400Z,Urgent,2,Approved
USSPC-FAC-2026-0250,Schriever SFB,100,80,Lighting,22,31.28,4,1,9,2026-01-08 0100Z,Urgent,2,Approved
USSPC-FAC-2026-0251,Peterson SFB,200,20,Electrical,25,30.96,1,2,3,2026-02-14 0100Z,Urgent,2,Completed
USSPC-FAC-2026-0252,Peterson SFB,200,10,HVAC,28,33.96,3,1,0,2026-02-19 0800Z,Urgent,2,Completed
USSPC-FAC-2026-0253,Peterson SFB,200,20,Electrical,18,79.02,2,1,16,2026-01-07 0700Z,Routine,4,Completed
USSPC-FAC-2026-0254,Peterson SFB,700,60,ESS,26,42.62,4,4,4,2026-01-20 1700Z,Urgent,2,Completed
USSPC-FAC-2026-0255,Vandenberg SFB,700,20,Electrical,22,30.3,1,2,4,2026-02-21 0500Z,Urgent,2,In Progress
USSPC-FAC-2026-0256,Schriever SFB,100,40,Fire Protection,20,39.54,3,2,5,2026-02-27 1700Z,Urgent,2,Approved
USSPC-FAC-2026-0257,Schriever SFB,200,20,Electrical,26,46.86,4,4,9,2026-02-17 1400Z,Urgent,2,Completed
USSPC-FAC-2026-0258,Vandenberg SFB,200,80,Lighting,25,33.72,2,2,6,2026-02-14 2100Z,Urgent,2,Completed
USSPC-FAC-2026-0259,Peterson SFB,700,40,Fire Protection,5,100.0,5,2,24,2026-01-13 0900Z,Routine,4,Completed
USSPC-FAC-2026-0260,Buckley SFB,700,80,Lighting,29,32.0,4,3,0,2026-02-04 1600Z,Urgent,2,In Progress
USSPC-FAC-2026-0261,Buckley SFB,200,20,Electrical,17,87.5,4,3,17,2026-01-22 1300Z,Routine,3,Approved
USSPC-FAC-2026-0262,Schriever SFB,100,30,Plumbing,22,48.91,4,2,9,2026-01-19 0700Z,Urgent,2,Approved
USSPC-FAC-2026-0263,Buckley SFB,100,60,ESS,17,50.28,1,2,9,2026-01-17 0400Z,Urgent,2,Approved
USSPC-FAC-2026-0264,Peterson SFB,100,20,Electrical,9,59.98,3,4,16,2026-02-09 0300Z,Urgent,2,Approved
USSPC-FAC-2026-0265,Buckley SFB,700,10,HVAC,24,49.05,4,2,6,2026-02-21 2100Z,Urgent,2,Approved
USSPC-FAC-2026-0266,Vandenberg SFB,100,50,Structural,23,47.62,2,4,12,2026-02-02 0400Z,Urgent,2,Completed
USSPC-FAC-2026-0267,Schriever SFB,700,20,Electrical,20,44.31,4,1,5,2026-02-12 1200Z,Urgent,2,In Progress
USSPC-FAC-2026-0268,Buckley SFB,100,80,Lighting,15,70.04,2,4,10,2026-02-03 1400Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0269,Buckley SFB,100,60,ESS,11,67.77,3,3,16,2026-02-15 2000Z,Routine,4,Completed
USSPC-FAC-2026-0270,Schriever SFB,200,10,HVAC,12,61.63,5,1,21,2026-02-24 0700Z,Routine,4,Approved
USSPC-FAC-2026-0271,Schriever SFB,700,50,Structural,19,63.25,1,2,6,2026-01-28 0900Z,Routine,3,Approved
USSPC-FAC-2026-0272,Schriever SFB,100,60,ESS,3,86.66,4,3,31,2026-01-26 2100Z,Routine,4,Approved
USSPC-FAC-2026-0273,Peterson SFB,700,70,Power Production,4,98.18,2,4,31,2026-01-09 0700Z,Routine,4,Approved
USSPC-FAC-2026-0274,Schriever SFB,100,30,Plumbing,27,33.58,5,3,3,2026-01-02 0100Z,Urgent,2,In Progress
USSPC-FAC-2026-0275,Buckley SFB,200,30,Plumbing,16,72.8,4,3,17,2026-02-09 1100Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0276,Buckley SFB,200,20,Electrical,1,93.76,2,4,32,2026-01-04 0500Z,Routine,3,Approved
USSPC-FAC-2026-0277,Buckley SFB,200,60,ESS,14,76.57,2,4,17,2026-01-30 1700Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0278,Peterson SFB,100,60,ESS,2,83.31,5,2,25,2026-01-02 1800Z,Routine,4,In Progress
USSPC-FAC-2026-0279,Schriever SFB,700,30,Plumbing,22,36.74,1,4,13,2026-02-09 1500Z,Urgent,2,Approved
USSPC-FAC-2026-0280,Vandenberg SFB,200,30,Plumbing,4,88.43,2,4,26,2026-02-21 0000Z,Routine,4,Completed
USSPC-FAC-2026-0281,Buckley SFB,100,50,Structural,1,97.87,1,4,34,2026-01-20 2300Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0282,Schriever SFB,200,50,Structural,3,100.0,3,4,30,2026-02-07 1000Z,Routine,4,In Progress
USSPC-FAC-2026-0283,Peterson SFB,100,60,ESS,4,88.94,5,1,27,2026-02-22 1900Z,Routine,4,Approved
USSPC-FAC-2026-0284,Buckley SFB,100,60,ESS,13,72.6,1,4,14,2026-02-24 2000Z,Routine,3,In Progress
USSPC-FAC-2026-0285,Schriever SFB,700,10,HVAC,17,74.17,5,1,10,2026-01-22 0300Z,Routine,4,Approved
USSPC-FAC-2026-0286,Vandenberg SFB,700,70,Power Production,16,69.74,2,4,17,2026-02-04 1100Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0287,Schriever SFB,700,20,Electrical,1,100.0,5,3,31,2026-01-17 2200Z,Routine,3,Approved
USSPC-FAC-2026-0288,Vandenberg SFB,100,60,ESS,29,25.62,5,4,0,2026-02-18 1000Z,Emergency,1,Approved
USSPC-FAC-2026-0289,Vandenberg SFB,100,40,Fire Protection,16,42.71,4,3,13,2026-02-10 1900Z,Urgent,2,Approved
USSPC-FAC-2026-0290,Buckley SFB,200,70,Power Production,2,100.0,2,2,27,2026-02-02 0600Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0291,Buckley SFB,100,40,Fire Protection,16,60.53,2,4,12,2026-02-12 1100Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0292,Vandenberg SFB,200,30,Plumbing,19,62.13,2,1,6,2026-01-21 1200Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0293,Schriever SFB,200,20,Electrical,25,34.21,1,2,2,2026-02-15 1200Z,Urgent,2,Completed
USSPC-FAC-2026-0294,Buckley SFB,200,40,Fire Protection,9,80.93,4,1,20,2026-02-24 1900Z,Routine,4,Approved
USSPC-FAC-2026-0295,Vandenberg SFB,700,70,Power Production,2,100.0,3,1,26,2026-01-03 1800Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0296,Buckley SFB,200,70,Power Production,19,69.93,4,3,8,2026-02-15 2300Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0297,Peterson SFB,100,20,Electrical,27,26.58,2,1,0,2026-02-04 1300Z,Emergency,1,In Progress
USSPC-FAC-2026-0298,Peterson SFB,700,40,Fire Protection,12,79.88,4,2,22,2026-01-04 0200Z,Routine,4,Completed
USSPC-FAC-2026-0299,Schriever SFB,100,40,Fire Protection,1,100.0,1,1,25,2026-01-10 1000Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0300,Buckley SFB,200,80,Lighting,26,32.92,4,4,6,2026-01-02 0600Z,Urgent,2,In Progress
USSPC-FAC-2026-0301,Peterson SFB,200,20,Electrical,29,36.2,4,3,5,2026-02-12 0200Z,Urgent,2,In Progress
USSPC-FAC-2026-0302,Vandenberg SFB,200,40,Fire Protection,28,35.74,2,2,0,2026-02-19 1100Z,Urgent,2,Completed
USSPC-FAC-2026-0303,Peterson SFB,200,50,Structural,12,58.78,3,3,18,2026-01-04 1200Z,Urgent,2,In Progress
USSPC-FAC-2026-0304,Schriever SFB,700,30,Plumbing,10,68.28,3,3,23,2026-01-13 0400Z,Routine,4,Approved
USSPC-FAC-2026-0305,Schriever SFB,100,80,Lighting,18,60.97,4,2,14,2026-02-10 0800Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0306,Vandenberg SFB,200,30,Plumbing,21,49.15,4,4,9,2026-02-01 2100Z,Urgent,2,Approved
USSPC-FAC-2026-0307,Vandenberg SFB,200,10,HVAC,11,85.8,1,2,18,2026-01-08 0100Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0308,Buckley SFB,100,60,ESS,15,67.93,3,1,20,2026-01-27 1300Z,Routine,3,In Progress
USSPC-FAC-2026-0309,Buckley SFB,700,80,Lighting,23,40.39,3,3,7,2026-01-04 0200Z,Urgent,2,Completed
USSPC-FAC-2026-0310,Peterson SFB,200,40,Fire Protection,6,84.18,1,2,29,2026-02-17 0500Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0311,Buckley SFB,100,40,Fire Protection,15,79.89,1,3,16,2026-01-23 2000Z,Routine,4,In Progress
USSPC-FAC-2026-0312,Peterson SFB,200,80,Lighting,13,61.35,2,4,13,2026-02-22 0000Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0313,Buckley SFB,100,10,HVAC,8,77.56,2,1,17,2026-02-08 1800Z,Routine,3,Completed
USSPC-FAC-2026-0314,Schriever SFB,700,70,Power Production,21,43.83,3,1,5,2026-02-24 0700Z,Urgent,2,Completed
USSPC-FAC-2026-0315,Schriever SFB,100,30,Plumbing,21,60.37,1,4,4,2026-01-04 0700Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0316,Schriever SFB,700,10,HVAC,11,67.88,1,2,22,2026-01-22 0200Z,Routine,4,Approved
USSPC-FAC-2026-0317,Buckley SFB,700,60,ESS,10,85.89,3,3,15,2026-01-23 0100Z,Routine,3,Completed
USSPC-FAC-2026-0318,Peterson SFB,700,40,Fire Protection,9,75.07,4,4,21,2026-02-24 1900Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0319,Buckley SFB,200,30,Plumbing,22,56.86,3,1,8,2026-02-11 1600Z,Urgent,2,Completed
USSPC-FAC-2026-0320,Schriever SFB,100,80,Lighting,17,63.22,5,2,18,2026-02-05 0000Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0321,Peterson SFB,700,80,Lighting,3,100.0,3,4,32,2026-02-01 2000Z,Routine,4,In Progress
USSPC-FAC-2026-0322,Peterson SFB,200,40,Fire Protection,13,64.18,2,4,17,2026-02-16 0300Z,Routine,4,Completed
USSPC-FAC-2026-0323,Schriever SFB,100,30,Plumbing,3,100.0,3,2,32,2026-01-09 0700Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0324,Schriever SFB,200,80,Lighting,23,36.67,3,1,4,2026-02-08 1500Z,Urgent,2,Approved
USSPC-FAC-2026-0325,Buckley SFB,100,80,Lighting,13,67.62,4,2,13,2026-02-07 0700Z,Routine,3,Approved
USSPC-FAC-2026-0326,Vandenberg SFB,100,60,ESS,24,54.02,5,1,3,2026-01-31 2100Z,Urgent,2,In Progress
USSPC-FAC-2026-0327,Schriever SFB,100,40,Fire Protection,7,80.64,5,3,21,2026-01-13 0500Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0328,Peterson SFB,100,70,Power Production,19,67.72,5,2,6,2026-01-24 0300Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0329,Buckley SFB,700,30,Plumbing,18,62.3,3,2,11,2026-02-23 1100Z,Routine,3,Approved
USSPC-FAC-2026-0330,Peterson SFB,700,60,ESS,15,51.62,3,4,12,2026-02-20 0600Z,Urgent,2,Approved
USSPC-FAC-2026-0331,Peterson SFB,700,60,ESS,10,52.46,1,1,19,2026-02-28 0400Z,Urgent,2,In Progress
USSPC-FAC-2026-0332,Schriever SFB,100,10,HVAC,28,38.59,4,2,4,2026-02-05 1500Z,Urgent,2,In Progress
USSPC-FAC-2026-0333,Buckley SFB,200,40,Fire Protection,5,89.65,5,2,25,2026-01-01 1200Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0334,Schriever SFB,100,40,Fire Protection,5,94.4,1,3,20,2026-01-20 1200Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0335,Buckley SFB,200,20,Electrical,11,68.83,2,4,23,2026-02-17 1000Z,Routine,3,Completed
USSPC-FAC-2026-0336,Buckley SFB,200,30,Plumbing,4,79.83,5,4,27,2026-02-24 2200Z,Routine,4,Completed
USSPC-FAC-2026-0337,Peterson SFB,200,70,Power Production,17,72.61,4,2,8,2026-01-24 1500Z,Routine,3,Completed
USSPC-FAC-2026-0338,Vandenberg SFB,700,50,Structural,2,80.23,2,4,30,2026-02-07 2100Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0339,Peterson SFB,200,50,Structural,28,33.41,5,4,0,2026-03-02 2100Z,Urgent,2,Approved
USSPC-FAC-2026-0340,Peterson SFB,200,40,Fire Protection,10,75.05,3,1,15,2026-02-09 1000Z,Routine,3,In Progress
USSPC-FAC-2026-0341,Buckley SFB,700,30,Plumbing,2,93.11,3,2,25,2026-01-13 0500Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0342,Buckley SFB,200,70,Power Production,14,73.67,1,3,21,2026-02-02 0500Z,Routine,4,In Progress
USSPC-FAC-2026-0343,Peterson SFB,200,50,Structural,17,56.96,5,3,14,2026-02-09 1400Z,Urgent,2,Completed
USSPC-FAC-2026-0344,Buckley SFB,100,60,ESS,2,78.51,5,2,29,2026-02-21 0100Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0345,Buckley SFB,100,20,Electrical,3,85.74,2,1,32,2026-01-21 2100Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0346,Vandenberg SFB,200,20,Electrical,21,34.15,4,3,13,2026-02-03 1900Z,Urgent,2,Approved
USSPC-FAC-2026-0347,Buckley SFB,200,70,Power Production,21,57.11,3,4,9,2026-02-04 0900Z,Urgent,2,Approved
USSPC-FAC-2026-0348,Buckley SFB,700,30,Plumbing,9,68.62,3,3,22,2026-01-18 1700Z,Routine,3,Completed
USSPC-FAC-2026-0349,Vandenberg SFB,200,80,Lighting,13,74.68,3,1,18,2026-01-08 0000Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0350,Peterson SFB,100,20,Electrical,2,100.0,2,3,29,2026-01-31 1900Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0351,Schriever SFB,100,20,Electrical,23,27.94,3,4,8,2026-02-13 1400Z,Emergency,1,Completed
USSPC-FAC-2026-0352,Vandenberg SFB,100,40,Fire Protection,15,57.87,2,3,15,2026-01-02 1100Z,Urgent,2,Completed
USSPC-FAC-2026-0353,Buckley SFB,700,60,ESS,12,95.33,4,3,23,2026-01-07 2100Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0354,Vandenberg SFB,700,10,HVAC,1,100.0,2,1,26,2026-02-18 0300Z,Routine,4,Completed
USSPC-FAC-2026-0355,Schriever SFB,100,40,Fire Protection,4,78.24,4,3,26,2026-01-16 1100Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0356,Peterson SFB,200,70,Power Production,5,83.22,5,2,21,2026-02-03 2200Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0357,Schriever SFB,700,20,Electrical,3,68.61,1,3,22,2026-03-02 2200Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0358,Schriever SFB,100,10,HVAC,15,77.7,4,1,19,2026-02-15 1500Z,Routine,3,In Progress
USSPC-FAC-2026-0359,Buckley SFB,100,20,Electrical,15,52.71,2,4,17,2026-02-25 1900Z,Urgent,2,In Progress
USSPC-FAC-2026-0360,Vandenberg SFB,200,20,Electrical,21,40.38,5,3,13,2026-02-16 0300Z,Urgent,2,In Progress
USSPC-FAC-2026-0361,Vandenberg SFB,100,40,Fire Protection,30,17.44,3,2,0,2026-02-01 0000Z,Emergency,1,Completed
USSPC-FAC-2026-0362,Vandenberg SFB,100,50,Structural,20,36.14,3,3,11,2026-02-14 0200Z,Urgent,2,Approved
USSPC-FAC-2026-0363,Peterson SFB,100,50,Structural,21,63.97,5,2,7,2026-01-15 0400Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0364,Peterson SFB,100,70,Power Production,8,68.64,2,3,23,2026-01-08 0800Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0365,Schriever SFB,200,30,Plumbing,8,87.08,4,2,24,2026-01-27 1400Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0366,Schriever SFB,700,50,Structural,22,26.09,3,1,3,2026-02-06 0500Z,Emergency,1,In Progress
USSPC-FAC-2026-0367,Schriever SFB,700,40,Fire Protection,8,67.22,2,3,25,2026-02-24 0800Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0368,Buckley SFB,700,60,ESS,26,32.77,4,1,6,2026-01-02 1400Z,Urgent,2,Completed
USSPC-FAC-2026-0369,Peterson SFB,100,20,Electrical,12,75.79,2,4,21,2026-02-06 0900Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0370,Buckley SFB,700,80,Lighting,30,12.15,1,2,5,2026-02-14 1500Z,Emergency,1,In Progress
USSPC-FAC-2026-0371,Peterson SFB,700,20,Electrical,8,90.9,2,3,20,2026-01-15 1700Z,Routine,3,In Progress
USSPC-FAC-2026-0372,Schriever SFB,200,20,Electrical,22,42.66,4,1,13,2026-02-20 1700Z,Urgent,2,In Progress
USSPC-FAC-2026-0373,Buckley SFB,200,60,ESS,2,98.03,1,2,27,2026-01-12 1600Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0374,Vandenberg SFB,700,20,Electrical,21,45.73,4,3,7,2026-01-12 2300Z,Urgent,2,Approved
USSPC-FAC-2026-0375,Vandenberg SFB,200,20,Electrical,13,52.13,4,2,19,2026-02-02 0600Z,Urgent,2,Approved
USSPC-FAC-2026-0376,Peterson SFB,100,40,Fire Protection,13,84.05,1,1,15,2026-01-06 2000Z,Routine,3,Approved
USSPC-FAC-2026-0377,Schriever SFB,700,50,Structural,16,76.14,2,2,18,2026-02-21 2200Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0378,Schriever SFB,100,70,Power Production,29,30.44,2,2,0,2026-02-07 0500Z,Urgent,2,In Progress
USSPC-FAC-2026-0379,Vandenberg SFB,700,70,Power Production,13,61.09,2,3,14,2026-01-31 0800Z,Routine,3,Approved
USSPC-FAC-2026-0380,Schriever SFB,700,70,Power Production,9,78.07,1,4,21,2026-02-02 0900Z,Routine,3,In Progress
USSPC-FAC-2026-0381,Buckley SFB,700,80,Lighting,22,33.79,1,2,3,2026-02-14 2200Z,Urgent,2,Approved
USSPC-FAC-2026-0382,Peterson SFB,700,80,Lighting,16,55.62,3,2,19,2026-02-20 1300Z,Urgent,2,Completed
USSPC-FAC-2026-0383,Buckley SFB,200,10,HVAC,5,100.0,5,2,27,2026-01-24 0300Z,Routine,3,Completed
USSPC-FAC-2026-0384,Schriever SFB,100,70,Power Production,15,50.99,5,1,12,2026-01-29 0000Z,Urgent,2,In Progress
USSPC-FAC-2026-0385,Schriever SFB,100,10,HVAC,8,74.09,5,1,26,2026-02-03 0000Z,Routine,3,Approved
USSPC-FAC-2026-0386,Peterson SFB,200,50,Structural,23,15.54,4,1,7,2026-02-07 1600Z,Emergency,1,Approved
USSPC-FAC-2026-0387,Peterson SFB,100,60,ESS,20,40.2,1,2,11,2026-01-28 1600Z,Urgent,2,In Progress
USSPC-FAC-2026-0388,Vandenberg SFB,700,60,ESS,16,54.11,2,1,9,2026-01-27 0100Z,Urgent,2,Approved
USSPC-FAC-2026-0389,Peterson SFB,100,70,Power Production,18,55.58,3,4,11,2026-02-15 1500Z,Urgent,2,Completed
USSPC-FAC-2026-0390,Buckley SFB,700,70,Power Production,11,68.42,2,2,21,2026-02-09 0700Z,Routine,4,Completed
USSPC-FAC-2026-0391,Vandenberg SFB,700,80,Lighting,4,100.0,1,4,27,2026-02-26 0600Z,Routine,4,Approved
USSPC-FAC-2026-0392,Schriever SFB,700,60,ESS,24,32.26,5,3,7,2026-01-14 1800Z,Urgent,2,Approved
USSPC-FAC-2026-0393,Peterson SFB,100,20,Electrical,3,100.0,1,4,27,2026-01-18 1200Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0394,Vandenberg SFB,100,10,HVAC,19,57.32,5,3,14,2026-02-07 1400Z,Urgent,2,Completed
USSPC-FAC-2026-0395,Schriever SFB,100,30,Plumbing,21,45.43,2,2,9,2026-01-02 1900Z,Urgent,2,Approved
USSPC-FAC-2026-0396,Buckley SFB,700,10,HVAC,24,30.65,3,2,9,2026-02-08 0200Z,Urgent,2,In Progress
USSPC-FAC-2026-0397,Vandenberg SFB,700,60,ESS,1,91.29,5,1,25,2026-02-18 1100Z,Routine,3,Completed
USSPC-FAC-2026-0398,Vandenberg SFB,700,30,Plumbing,28,45.11,2,1,2,2026-02-05 1100Z,Urgent,2,In Progress
USSPC-FAC-2026-0399,Peterson SFB,100,50,Structural,24,32.91,1,4,2,2026-01-28 2300Z,Urgent,2,Completed
USSPC-FAC-2026-0400,Schriever SFB,700,40,Fire Protection,1,97.58,5,4,25,2026-02-19 1500Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0401,Schriever SFB,200,30,Plumbing,9,91.88,1,3,21,2026-01-23 1800Z,Preventive Maintenance,3,In Progress
